Country,,rgdpch1970,rgdpch2000,rgdpch2009,rgdpch1990,rgdpch1995,rgdpch2005,Growth Rate btw 1970-2009,Growth rates btw 1960 and 2009,Growth rate between 1990 and 2009,Growth rate btw 1995-2009,Growth Rate btw 2000 and 2009,Growth Rate between 2005 and 2009,rgdpch1960,1970 data,rgdpch1960,1995 data,1990 data,2000 data,africa,asia,westerneurope,,,,,,,,,,,,,,,,,
Burundi,,351.45,395.31,368.03,447.55,352.50,368.52,0.00118,,-0.01024,0.00308,-0.00791,-0.00033,258.73,,258.73,,,,1,,,,,,,,,,,,,,,,,,,
Cambodia,,1095.00,1067.57,1765.97,735.86,854.83,1560.00,0.01233,,0.04715,0.05319,0.05752,0.03149,0.00,Cambodia,968.70,,,,,1,,,,,,,,,,,,,,,,,,
Cameroon,,1303.25,1688.44,1811.05,1896.77,1540.46,1793.11,0.00847,,-0.00243,0.01163,0.00782,0.00249,1241.29,,1241.29,,,,1,,,,,,,,,,,,,,,,,,,
Canada,,17966.47,33460.22,36208.90,27641.04,28446.65,36451.29,0.01813,,0.01431,0.01738,0.00881,-0.00167,12987.91,,12987.91,,,,,,,,,,,,,,,,,,,,,,,
Cape Verde,,1357.67,2480.70,3780.82,1617.67,1909.40,2882.91,0.02661,,0.04570,0.05001,0.04794,0.07014,1052.97,,1052.97,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,,1029.31,634.36,647.60,741.32,655.26,547.27,-0.01181,,-0.00709,-0.00084,0.00230,0.04298,1073.57,,1073.57,,,,1,,,,,,,,,,,,,,,,,,,
Chad,,901.38,731.19,1277.00,743.95,799.42,1293.91,0.00897,,0.02884,0.03402,0.06391,-0.00328,818.61,,818.61,,,,1,,,,,,,,,,,,,,,,,,,
Chile,,4550.38,9449.44,11999.25,5636.62,8065.79,11220.09,0.02517,,0.04057,0.02878,0.02690,0.01693,3780.41,,3780.41,,,,,,,,,,,,,,,,,,,,,,,
China,,439.92,3196.68,7634.28,1409.42,2352.30,5188.64,0.07592,,0.09299,0.08773,0.10156,0.10136,403.10,,403.10,,,,,1,,,,,,,,,,,,,,,,,,
Colombia,,3064.50,5816.52,7529.01,4620.02,5271.98,6662.10,0.02332,,0.02604,0.02578,0.02909,0.03105,2478.32,,2478.32,,,,,,,,,,,,,,,,,,,,,,,
